file_name,output
0129.jpg,"
Entitäten: Ort (Brandenburger Tor Platz), Datum (13.11.), Zeit (19:00), Kategorie (DEMO), Thema (BerlinIstKultur DEMO GEGEN DIE KÜRZUNGEN IM KULTURBEREICH!)"
0130.jpg,"**Ort:** NochMall 19. Oktober 2024, **Datum:** 21.12., **Zeit:** 19 Uhr, **Kategorie:** Kundgebung, **Thema:** Qualitätreparatur"
0131.jpeg,"
Entitäten: Ort = Marburger Str., Datum = 05.03.2025, Zeit = 12:00 Uhr, Kategorie = Kundgebung, Thema = GENOCIDE STARTS HERE!"
0132.jpg,"
Entitäten: Ort (Sea-Watch), Datum (18.02.2023), Zeit (18 Uhr), Kategorie (Kundgebung), Thema (SOS Antifa)"
0133.jpg,"
Entitäten: Ort(Marburg), Datum(05.09.2020), Zeit(14:30), Kategorie(Kundgebung), Thema(Dr. Weber)"
0134.jpg,"
- Ort: Mahnmal Levetzowstraße Berlin-Moabit
- Datum: 27.05.24
- Zeit: 18:00 Uhr
- Kategorie: Antifaschistische Kundgebung
- Thema: INSTRUMENTALISIERUNG DES ERINNERNS"
0135.jpg,"
Entitäten: Ort(S+U Schönhauser Allee), Datum(8. März 2025), Zeit(13:00 Uhr), Kategorie(Demo), Thema(FEMINISM UNLIMITED)"
0136.jpg,"
Entitäten: Ort(Uhlandstraße 51), Datum(27.02.), Zeit(18:15 Uhr), Kategorie(Kundgebung), Thema(GEGEN JEDE NAZI PROPAGANDA!)"
0137.jpg,"
**Entitäten:** Ort: Muthsamgasse, Datum: 9. Juli 2022, Zeit: 18.30, Kategorie: Kundgebung, Thema: Kunst Samstag"
0139.jpg,"
Entitäten: Ort (Zentrum Kreuzberg), Datum (21.12.), Zeit (19 Uhr), Kategorie (Kundgebung), Thema (Zuckermüse)"
0140.jpg,"**Ort:** Schöneweide Wer?
            **Datum:** 03.02.2024
            **Zeit:** 11–13.30 Uhr
            **Kategorie:** WORKSHOP Motion-Capture HTW
            **Thema:** Vorkenntnisse ab 7 Jahren"
0142.jpeg,""
0143.jpg,"
Entitäten: Ort (Ostkreuz), Datum (14.07.), Zeit (14:00 Uhr), Kategorie (Kundgebung), Thema (Ostkreuz nicht den Nazis überlassen!)"
0145.jpg,"
**Entitäten:** Ort: A100 WEGBASSEN, Datum: 06.10.2023, Zeit: 20:00 - 10:00, Kategorie: Kundgebung, Thema: SOLI-RAVE RAVE LIVE ACTS PANEL DISCUSSION"
0146.jpg,"**Ort**: WIDERSPRUCH, **Datum**: 15.12.24, **Zeit**: 11:30– 19:30 Uhr **Veranstaltungsart**: Kundgebung **Thema**: Antisemitismus im Kultur– und Clubbetrieb Reflexionen"
0147.jpeg,"**21.12.** | **Dienstag** | **18:00 Uhr** | **Kundgebung** | **Rassismus, Abschiebung und Gewalt**"
0148.jpg,"
Entitäten: Ort = N/A, Datum = 01.09.2023, Zeit = 19 Uhr, Kategorie = Kundgebung, Thema = Antisemitismus in emanzipatorischen Subkulturen und Bewegungen Ein Abend mit Nicholas Potter, Stefan Lauer, Rosa Jellinek, Leon Kahane, Konstantin Nowotny und Anastasia Tikhomirova DJ: Ori Raz"
0149.jpg,"**Ort:** MÜNCHEN Prof. Dr. Christoph Hueck Biochemiker | **Datum:** 11.7.2020 | **Zeit:** 10 - 12 Uhr | **Kategorie:** Demonstration | **Thema:** FREIHEIT GRUNDRECHTE SELBSTBESTIMMUNG ZUR FREIHEIT SAMSTAG 11.7.2020"
0151.jpg,"**Ort:** Frankfurter Tor, **Datum:** 08.06.24, **Zeit:** 15 Uhr, **Kategorie:** Kundgebung, **Thema:** TANZ DEMO"
0152.jpg,""
0153.jpg,"
Entitäten: Ort(Albertinaplatz), Datum(12.03.1938 - 12.03.2025), Zeit(18:30 GEDENKEN BEIM MAHNMAL GEGEN KRIEG & FASCHISMUS), Kategorie(Kundgebung), Thema(Nie Wiedertritt)"
0154.jpeg,"
Entitäten: Ort(LEIPZIG), Datum(21.01.25), Zeit(20:00), Kategorie(Livekonzert), Thema(Liz Meline Meets Snailtape Dienstag)"
0155.jpg,""
0156.jpeg,"
**Entitäten:** Ort: Zielona Gora, Grünbergerstr. 73 BERLINER OBDACHLOSENHILFE e.V.

**Datum:** 21.12.

**Zeit:** 19 Uhr

**Kategorie:** Kundgebung

**Thema:** Obdachlose und hilfsbedürftige Menschen"
0157.jpg,"
Entitäten: Ort (Berlin), Datum (17. Dezember), Zeit (15:00 Uhr), Kategorie (Kundgebung), Thema (Russische Bottschatzung)"
0158.jpg,""
0160.jpg,"
            - Ort: ""BUNDESTAGSWAHL - SCHLUSSRUNDE""
            - Datum: ""22.12.""
            - Zeit: ""22:00 Uhr""
            - Kategorie: ""Kundgebung""
            - Thema: ""Alice Weidel"""
0161.jpg,"**Ort:** Brandenburger Tor 3 
            **Datum:** 22.02.25
            **Zeit:** 16 : 00
            **Kategorie:** Kundgebung
            **Thema:** Ukraine Freiheit Demokratie NEIN Putin AfD"
0162.jpeg,"**Ort:** Lottumstr. 10a, Prenzlauer Berg
**Datum:** 05. März 2025
**Zeit:** 19 Uhr
**Kategorie:** Kundgebung
**Thema:** antifaschistisch organisieren und suchst dafür andere Menschen?"
0163.jpg,"
Entitäten: Ort (Berlin), Datum (18.11.2020), Zeit (19 Uhr), Kategorie (Kundgebung), Thema (STOPPT das Infektionsschutzgesetz 18.11.2020 Ab 11:00 Uhr openEnd Unsere Zivilisation - Unsere Regeln!)"
0164.jpg,""
0165.jpg,"**Ort:** Strausberg Kulturpark **
            **Datum:** 21.12. **
            **Zeit:** 19 Uhr **
            **Kategorie:** Kundgebung **
            **Thema:** Tanzparty"
0166.jpg,"
Entitäten: WORKSHOP, Datum 12.03.25, Zeit 16-19 Uhr, Kategorie Kundgebung, Thema HOW TO KULTURFÖRDERUNG WITH KAROLINE LUCKS"
0167.jpg,"
Entitäten: Ort = KulTour Flutopfer-Stiftung, Datum = 08.07.2023, Zeit = 14.00 – 17.00, Kategorie = Kinderfest, Thema = Children’s festival"
0169.jpeg,"
Entitäten: Ort = Notspecified, Datum = 08.03.2023, Zeit = 17:00, Kategorie = Kundgebung, Thema = Mexiko"
0170.jpeg,"
Entitäten: Ort (Café Cralle Hochstädter Str. 10a), Datum (21.12.), Zeit (19.00 Uhr), Kategorie (Kundgebung), Thema (Frauenrechte)"
0171.jpg,"
Ort: KOMMT ALLE!
Datum: 02.11.
Zeit: 19:00 - 19:30 Uhr
Kategorie: Kundgebung
Thema: Abstands- und Quarantäne-freien Spaziergang jeden Tag im LockDown Ab Montag
```"
0172.jpg,"
Entitäten: Ort (Hanau), Datum (17. September), Zeit (16:00 Uhr), Kategorie (Kundgebung), Thema (Stadtlauf STÄRKE ZEIGEN GEMEINSAM GEGEN GEWALT AN FRAUEN 6 km Hanau Marktplatz 2016"
0173.jpg," **21.12.**
    **Zeit:** 19 Uhr
    **Kategorie:** Demonstration
    **Thema:** Die Aufnahme der Menschen an der polaire Belarussischen Grenze!"
0176.jpg,"
- Ort: Michael-Brückner-Str. 9, Schöneweide Bring
- Datum: 30.11.2024
- Zeit: 11–13 Uhr
- Kategorie: CODING
- Thema: Lern und Lernen"

0177.jpg,"**Ort:** Markt 11 17268 Templin
            **Datum:** 07.09.
            **Zeit:** 14:00 Uhr
            **Kategorie:** Demonstration
            **Thema:** Demo gegen das Sommerfest der AfD"
0178.jpg,""
0179.jpg,"**Ort:** DEMOS, **Datum:** 23.5. bis 8.6.24, **Zeit:** 19 Uhr, **Kategorie:** Kundgebung, **Thema:** Rechts- extremismus"
0180.jpg,"
Entitäten: Ort (blank Markgrafendamm 24c), Datum (21.12.), Zeit (19:00 Uhr), Kategorie (Kundgebung), Thema (Queer-Feminismus und Antisemitismus)"
0181.jpg,"
Entitäten: Ort(RAHLSTEDT), Datum(28.08.), Zeit(19:00 Uhr), Kategorie(Kundgebung), Thema(ES IST WIEDER SOWEIT!)"
0182.jpg,"
Entitäten: Ort=Rostock, Datum=27.08.2022, Zeit=19 Uhr, Kategorie=Kundgebung, Thema=ANTIFA-BLOCK AUF DER LICHTENHAGEN-DEMO"
0183.jpg,"
Entitäten: Ort = RAVE KUNDGEBUNG KASTANIENALLEE, Datum = 14. April 2021, Zeit = 14:00 Uhr, Kategorie = Kundgebung, Thema = KASTANIENALLEE"
0185.jpg,"
Entitäten: Ort (String), Datum (String), Zeit (String), Kategorie (String), Thema (String)"
0186.jpg,"
Entitäten: Ort(Blank Markgrafendamm 24c 10245 Berlin), Datum(11. Oktober 2024), Zeit(19 Uhr), Kategorie(Veranstaltung), Thema(DJ Andreas Michalke & Schallplatten aus Marseille FRENCH CONNECTION PARTY)"
0187.jpg,"**Kundgebung** Autobahnanlagen zur Straßenbahn und Buslinie
            **theme** Straßenbahn
            **Ort** Breitenbachplatz
            **Datum** 2.6.24
            **Zeit** 16 - 20 Uhr"
0190.jpg,"
Entitäten: Ort (10245 Berlin), Datum (20.11.2022), Zeit (19 Uhr), Kategorie (Kundgebung), Thema (SPEKTAKEL WORKSHOP)"
0191.jpg,"
            - Ort: Oranienplatz
            - Datum: 18.12.
            - Zeit: 18:00 Uhr
            - Kategorie: Kundgebung
            - Thema: Krieg in Kurdistan"
0193.jpg,""
0194.jpg," **Ort:** VIELFALT, **Datum:** 17.05.2025, **Zeit:** 19 Uhr, **Kategorie:** Kundgebung, **Thema:** Kinder und Erwachsene"
0195.jpg,"
Entitäten: BERLIN, Datum: 26.10., Zeit: 19:00 Uhr, Kategorie: Kundgebung, Thema: ANTICAPITALIST-ANTIFASCIST DAS MONOPOL ZERSCHLAGEN! TOWER TO THE PEOPLE!"
0196.jpg,"
**Entitäten:** Ort: Friedrichstraße (Southseite), Datum: 21.12., Zeit: 18:00 Uhr"
0197.jpg,"
- Ort: VORTREFFPUNKT DEMO 12:00
- Datum: 22.02.25
- Zeit: 12:30 Uhr
- Kategorie: Demonstration
- Thema: Der AfD Wider-Setzen"
0198.jpg,"
Entitäten: Ort = Zentrum antifaschistisch · queerfeministisch · klimagerecht antirassistisch · klassenkämpferisch, Datum = 23.02., Zeit = 15.30 Uhr, Kategorie = Feier, Thema = FIGHT AfD! SONNTAG"
0199.jpg,"**Ort:** Schiffbauerdamm 1, **Datum:** 22.02.25, **Zeit:** 11:30 Uhr, **Kategorie:** Kundgebung, **Thema:** Schweißputzer"
0200.jpg,"
Entitäten: Ort (NEIN ZUR AFD!), Datum (21.12.), Zeit (19 Uhr), Kategorie (Kundgebung), Thema (AFD Abschluss & Politik)"
0201.jpg,"**Ort:** Straßen mit Hausnummern 15, 22
**Datum:** 09.02.
**Zeit:** 19 Uhr
**Kategorie:** Kundgebung
**Thema:** Brandmauer durch Merz und Co."
0202.jpg,"**Ort:** Friedrichshain Markgrafendamm 24c & 25 Neuwahlen
**Datum:** 14.12.
**Zeit:** 12.30 Uhr
**Kategorie:** Kundgebung
**Thema:** Gegen Faschismus, Queer- und Frauen- Feindlichkeit!"
0203.jpg,"
Entitäten: S+U Bfh Warschauerstr. 29.11, 17:30h, Kundgebung, SUBKULTUR GEGEN AMAZON Dogshit Skatepark"
0204.jpg,"
Entitäten: Ort(Forckenbeckplatz), Datum(16.11.), Zeit(14.00 Uhr), Kategorie(Veranstaltung), Thema(transfeindlichkeit tötet Neuwahlen erstrecht: kämpfen statt sterben!)"
0205.jpg,"
Entitäten: Ort(Potsdam), Datum(21.12.), Zeit(19 Uhr), Kategorie(Kundgebung), Thema(AfD-Party zur Landtagswahl)"
0206.jpg,"**Ort:** Berlin Alt-Blankenburg 12 Nähe S-Bhf. Blankenburg
            **Datum:** 21.12.
            **Zeit:** 19 Uhr
            **Veranstaltungsart:** Kundgebung
            **Thema:** AfD Wahlparty"
0207.jpg,"
Entitäten: Frankfurt, 16. August, 15:30 Uhr, Kundgebung, Schönung ohne AfD"
0208.jpg,"
**Entitäten:** Ort: Falkensee, Datum: 21.12., Zeit: 19 Uhr, Kategorie: Demo, Thema: Startpunkt & Musik"
0209.jpg,"
- Ort: Essen
- Datum: 21.12.
- Zeit: 19 Uhr
- Kategorie: Festival
- Thema: Rave & Aktionsplenum"
0210.jpg,"
Entitäten: STRALAUER PLATZ (OSTBAHNHOF), Datum: 08.03.2024, Zeit: 14:00–20:00, Kategorie: Demo, Thema: SUBCULTURE AGAINST PATRIARCHY!"
0211.jpg,"

Entitäten: Ort (N/A), Datum (21.01.24), Zeit (16:00), Kategorie (ZUSAMMEN GEGEN RECHTS), Thema (N/A)"
0212.jpg,"

Entitäten: Ort(Boxhagener Platz), Datum(25. November 2023), Zeit(16:30 Uhr), Kategorie(Feier), Thema(KEINE SHOWS FÜR TÄTER!)"
0213.jpg,""
0214.jpg,"
| Ort | Datum | Zeit | Kategorie | Thema |
|---|---|---|---|---|
| NA | 15.07.23 | 14:30 Uhr | Kundgebung | STOMP THE PATRIARCHY |"
0215.jpg,""
0216.jpg,"
Entitäten: Ort(Müllerstraße 146), Datum(08.04.2023), Zeit(13 Uhr), Kategorie(Kundgebung), Thema(KRITISCHE PERSPEKTIVE AUF DEN OSTERMARSCH ’23 SAMSTAG 08.04. AB 13 UHR ➤ MÜLLERSTRASSE 146)"
0217.jpg,""
0218.jpg,"
Entitäten: Ort (Max-Schmeling-Halle), Datum (09.01.2023), Zeit (18:00 Uhr), Kategorie (Kundgebung), Thema (CAPTAIN FAIL VS. BÖHMERMANN)"
0219.jpg,"
Entitäten: StraßenFFFest, Datum: 03.09.22, Zeit: 14:30 Uhr, Kategorie: Kundgebung, Thema: Laufdemo"
0220.jpg,""
0221.jpg,"**21.12.**, **Dienstag**, **9. November**, **Kundgebung**
            **Querschrift zum Kampf gegen Faschismus und Querfront**"
0222.jpg,"**Ort:**  O MAS GEGEN RECHTS
**Datum:**  21.12.
**Zeit:**  19 Uhr
**Kategorie:** Kundgebung
**Thema:** Wedding Questions"
0223.jpg,"
Entitäten: Ort (Querdenken), Datum (21.12.), Zeit (13:30 Uhr), Kategorie (Kundgebung), Thema (Querdenken Versenken von Afd)"
0224.jpg,"**21.12.**, **Dienstag**, **19 Uhr**, **Kundgebung**, **Sprachspiel**"
0225.jpg,""
0226.jpg,"
**Entitäten:** Ort: S+U Schönhauser Allee 13:00 Uhr, Datum: 21.12., Zeit: 19 Uhr, Kategorie: Demonstration, Thema: FEMINISM UNLIMITED DEMONSTRATION"
0227.jpg,"
Entitäten: Ort (N/A), Datum (8. MÄRZ), Zeit (19 Uhr), Kategorie (Kundgebung), Thema (RAUS ZUM FEMINISTISCHEN KAMPFTAG!)"
0228.jpg,"**21.12.**
    **Kategorie:** Kundgebung
    **Thema:** Gedenkspaziergang"
0229.jpg,"

- Ort: NA
- Datum: 18. April 2021
- Zeit: 19 Uhr
- Kategorie: Demonstration
- Thema: Politische Motivation"
0230.jpg,"
Entitäten: Ort (RegenbogenCafé), Datum (17.04.25), Zeit (19:00 Uhr), Kategorie (Kundgebung), Thema (Punkrock_Lyrik)"
0231.jpg,"
**Entitäten:** Ort: Di, Datum: 15. April, Zeit: 18 Uhr, Kategorie: Kundgebung, Thema: Studentliche Freiraume und Protests"
0232.jpg,"
            - Ort: Lohmühle Lohmühlenstraße 17, 12435 B
            - Datum: 13.04.25
            - Zeit: 15–21 Uhr
            - Kategorie: Diskussion, Basteln, Soli-Merch, Crêpes & Drinks
            - Thema: Frühlingsevent"


0233.jpg,"

Entitäten: U-BERNAUERSTRASSE, 05.04.2025, 15:00, Kundgebung, Kurdische Frage und Freilassung von Abdullah Öcalan"
0234.jpg,"
Entitäten: Wilhelmstr. Berlin, 21.12. 19 Uhr Kundgebung Tesla Store, Kundgebung, Tesla"
0235.jpg,"
Entitäten: Ort (Fischladen Rigaerstr. 83), Datum (20.12.), Zeit (20:00 Uhr), Kategorie (Demonstration), Thema (Provisorischer anarchistischer Antikriegsrat Berlin)"
0236.jpg,"
**Entitäten:** Ort (Maggie), Datum (1. April), Zeit (19:00), Kategorie (Kundgebung), Thema (SANGST)"
0237.jpg,"
Entitäten: Ort (Justizzentrum Potsdam Jägerallee 10-12), Datum (31. März), Zeit (12 Uhr), Kategorie (Kundgebung), Thema (Gegen Racial Profiling und Transmisogynoir)"
0238.jpg,"
Entitäten: Ort (BLEIBERECHTSKAMPF), Datum (18.03.), Zeit (18:00 - 20.00), Kategorie (FLINTA), Thema (THEM PRETTY SONGS)"
0239.jpg,"
Entitäten: Ort (Volksbuhne), Datum (24.11.), Zeit (21 Uhr), Kategorie (Kundgebung), Thema (PUNK Abend)"
0240.jpg,"
Entitäten: Ort = Bebelplatz, Datum = 13.10.2019, Zeit = 13 Uhr, Kategorie = Demonstration, Thema = Antisemitismus und Rassismus töten"
0241.jpg,"

Entitäten: Ort(Rosa-Luxemburg-Platz 14), Datum(21.12.2020), Zeit(19 Uhr), Kategorie(Kundgebung), Thema(Demokratischer Widerstand)"
0242.jpg,"
Entitäten: Antonplatz KEINEN RAUM DEM III. WEG!, 06.10.2024, 13 Uhr, Demonstration, Stoppt die Nazikampf- trainings"
